Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Patrick Henry,Cargo,14,Bethlehem-Fairfield Shipyards,1941-04-30,1941-09-27,1941-12-30,244.0,Patrick Henry,Scrapped 1958
Star of Oregon,Cargo,171,Oregon Shipbuilding Corp,1941-05-19,1941-09-27,1941-12-31,226.0,Star of Oregon (ship),Torpedoed and lost off Trinidad 1942
Meriwether Lewis,Cargo,170,Oregon Shipbuilding Corp,1941-05-19,1941-10-19,1942-01-27,253.0,Meriwether Lewis,Torpedoed and lost in the North Atlantic 1943
Francis Scott Key,Cargo,16,Bethlehem-Fairfield Shipyards,1941-06-21,1941-11-15,1942-01-29,222.0,Francis Scott Key,Scrapped 1967
William Clark,Cargo,172,Oregon Shipbuilding Corp,1941-05-31,1941-10-26,1942-02-03,248.0,William Clark,Torpedoed and lost in the Greenland Sea 1942
Roger B Taney,Cargo,17,Bethlehem-Fairfield Shipyards,1941-06-21,1941-12-06,1942-02-09,233.0,Roger B. Taney,Torpedoed and lost in the South Atlantic 1943
Robert Gray,Cargo,173,Oregon Shipbuilding Corp,1941-05-31,1941-11-16,1942-02-11,256.0,Robert Gray,Torpedoed and lost in the North Atlantic 1943
American Mariner,Cargo,20,Bethlehem-Fairfield Shipyards,1941-08-15,1941-12-30,1942-02-12,181.0,George Calvert,Set aside due to defect; later became USAS American Mariner in 1958; scrapped 1966.
John Barry,Cargo,174,Oregon Shipbuilding Corp,1941-07-11,1941-11-23,1942-02-17,221.0,John Barry,Torpedoed and lost in the Indian Ocean 1944
Zebulon B Vance,Cargo,145,North Carolina Shipbuilding Co,1941-05-22,1941-12-06,1942-02-17,271.0,Zebulon B. Vance,"Sold private 1947, scrapped 1970"
Richard Henry Lee,Cargo,18,Bethlehem-Fairfield Shipyards,1941-07-15,1941-12-06,1942-02-20,220.0,Richard Henry Lee,Scrapped 1965
John C Freemont,Cargo,64,California Shipbuilding Corp,1941-05-24,1941-09-27,1942-02-21,273.0,John C. Frémont,"First Liberty delivered by a West Coast yard. Mined in Manila Bay 1945, scrapped"
James Otis,Cargo,241,Permanente Metals Co Yard,1941-09-17,1941-12-31,1942-02-23,159.0,James Otis,"Wrecked off Devon 1945, scuttled with obsolete ammo 1946"
Thomas Jefferson,Cargo,175,Oregon Shipbuilding Corp,1941-07-18,1941-12-07,1942-02-24,221.0,Thomas Jefferson,Scrapped 1961
John Randolph,Cargo,19,Bethlehem-Fairfield Shipyards,1941-07-15,1941-12-30,1942-02-27,227.0,John Randolph,"Mined in the Denmark Strait 1942, salvaged and hulked, scrapped 1952"
John Hancock,Cargo,176,Oregon Shipbuilding Corp,1941-07-18,1941-12-14,1942-02-28,225.0,John Hancock,Torpedoed and lost off Cuba 1942
Thomas Paine,Cargo,65,California Shipbuilding Corp,1941-05-24,1941-10-26,1942-03-07,287.0,Thomas Paine,Scrapped 1960
Philip Livingston,Cargo,177,Oregon Shipbuilding Corp,1941-07-18,1941-12-21,1942-03-07,232.0,Philip Livingston,"Sold private 1947, scrapped 1969"
Alexander Hamilton,Cargo,229,Oregon Shipbuilding Corp,1941-09-20,1941-12-28,1942-03-10,171.0,Alexander Hamilton,Scrapped 1962
Nathanael Greene,Cargo,146,North Carolina Shipbuilding Co,1941-05-22,1942-01-17,1942-03-12,294.0,Nathanael Greene,"Torpedoed off Oran and beached 1943, TL"
Benjamin Harrison,Cargo,25,Bethlehem-Fairfield Shipyards,1941-09-27,1942-01-24,1942-03-13,167.0,Benjamin Harrison,Torpedoed and scuttled in the North Atlantic 1943
Robert Fulton,Cargo,230,Oregon Shipbuilding Corp,1941-09-20,1942-01-10,1942-03-15,176.0,Robert Fulton,Scrapped 1969
John Adams,Cargo,242,Permanente Metals Co Yard,1941-09-17,1942-01-18,1942-03-16,180.0,John Adams,Torpedoed and lost off New Caledonia 1942
Carter Braxton,Cargo,22,Bethlehem-Fairfield Shipyards,1941-09-03,1942-01-24,1942-03-18,196.0,Carter Braxton,"Sold private 1947, scrapped 1968"
Stephen A Douglas,Cargo,231,Oregon Shipbuilding Corp,1941-09-18,1942-01-21,1942-03-20,183.0,Stephen A. Douglas,Scrapped 1966
Benjamin Franklin,Cargo,66,California Shipbuilding Corp,1941-06-21,1941-11-16,1942-03-21,273.0,Benjamin Franklin,Scrapped 1958
Thomas MacDonough,Cargo,179,Oregon Shipbuilding Corp,1941-10-21,1942-01-28,1942-03-24,154.0,Thomas MacDonough,Scrapped 1967
Virginia Dare,Cargo,147,North Carolina Shipbuilding Co,1941-05-28,1942-02-03,1942-03-27,303.0,Virginia Dare,"Mined off Bizerta 1944, TL but salvaged, scrapped 1948"
John Jay,Cargo,178,Oregon Shipbuilding Corp,1941-09-30,1942-02-04,1942-03-28,179.0,John Jay,"Partially converted to troop ship, WSA owned; reserve fleet Wilmington, NC 11/47. Scrapped 1960"
John Paul Jones,Cargo,67,California Shipbuilding Corp,1941-06-27,1941-12-03,1942-03-30,276.0,John Paul Jones,Scrapped 1970
Christopher Newport,Cargo,21,Bethlehem-Fairfield Shipyards,1941-08-25,1942-02-15,1942-03-30,217.0,Christopher Newport,Torpedoed from the air and scuttled in the Barents Sea 1942
Kit Carson,Cargo,243,Permanente Metals Co Yard,1941-09-17,1942-02-06,1942-03-31,195.0,Kit Carson,Scrapped 1966
William Dawes,Cargo,180,Oregon Shipbuilding Corp,1941-10-26,1942-02-07,1942-04-01,157.0,William Dawes,"Torpedoed off Sydney 1942, Sunk 22 July 1942"
Philip Schuyler,Cargo,181,Oregon Shipbuilding Corp,1941-11-19,1942-02-15,1942-04-04,136.0,Philip Schuyler,Scrapped 1967
William Hooper,Cargo,148,North Carolina Shipbuilding Co,1941-08-22,1942-02-21,1942-04-07,228.0,William Hooper,Torpedoed from the air and lost in the Barents Sea 1942
George Clymer,Cargo,182,Oregon Shipbuilding Corp,1941-11-26,1942-02-19,1942-04-08,133.0,George Clymer,Wrecked and scuttled off Ascension 1942
Paul Revere,Cargo,68,California Shipbuilding Corp,1941-07-10,1941-12-21,1942-04-08,272.0,Paul Revere,Scrapped 1965
James Wilson,Cargo,183,Oregon Shipbuilding Corp,1941-12-09,1942-02-22,1942-04-11,123.0,James Wilson,"To U.S. Navy as Sterope (AK-96), scrapped 1964"
Samuel Chase,Cargo,23,Bethlehem-Fairfield Shipyards,1941-09-12,1942-02-22,1942-04-11,211.0,Samuel Chase,Scrapped 1967
